priority_rank,nama_wilayah,jenis_wilayah,cluster_id_model,cluster_label,priority_score,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index,pca1,pca2
1,Kabupaten Kuningan,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.8401860125814893,7.78,11.88,0.369,88.0,7.9,12.27,10.085,19.66,49.0425,-2.3740682184452018,1.8460023496328515
2,Kabupaten Bandung Barat,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.7980538489766641,6.7,10.49,0.4,81.59,8.24,12.0,10.12,17.19,45.855,-2.9666112908956332,1.4257533114746808
3,Kabupaten Cirebon,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.7857900950250309,6.74,11.0,0.374,85.43,7.65,12.42,10.035,17.740000000000002,47.7325,-2.5814185227301616,1.0794382098395552
4,Kabupaten Indramayu,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.7621677159231848,6.25,11.93,0.306,89.78,6.95,12.32,9.635,18.18,49.7075,-2.8949835591848316,0.15384464536885734
5,Kabupaten Garut,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.7256579399429264,6.96,9.68,0.324,84.24,7.85,12.17,10.01,16.64,47.125,-2.8563299836072806,0.45584832600568687
6,Kabupaten Cianjur,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.7181241919733994,5.99,10.14,0.338,86.22,7.33,12.04,9.685,16.130000000000003,47.9525,-2.895875938284933,0.04368351119507559
7,Kabupaten Purwakarta,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.6935856006143535,7.34,8.41,0.398,87.96,8.14,12.25,10.195,15.75,49.0775,-1.2740969028419207,0.9875234729722921
8,Kabupaten Subang,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.6677314844895468,6.73,9.49,0.32,92.11,7.46,12.11,9.785,16.22,50.9475,-1.735365464740748,-0.05756316226862536
9,Kabupaten Karawang,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.6658140466979667,8.04,7.86,0.376,91.98,8.05,12.21,10.13,15.9,51.055,-0.6730603333516337,0.9085923752482069
10,Kabupaten Majalengka,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.6483487220748241,4.01,10.82,0.354,87.98,7.53,12.27,9.9,14.83,48.940000000000005,-2.370206147925479,-0.8877395289782241
11,Kota Tasikmalaya,Kota,2,Relatif Stabil / Menengah,0.6295162498676656,6.49,11.1,0.359,92.98,9.63,13.5,11.565,17.59,52.2725,0.4015083824188467,0.5520287852565873
12,Kabupaten Sukabumi,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.6042216194415236,7.11,6.87,0.342,89.38,7.34,12.39,9.865,13.98,49.6225,-1.3077444909825873,-0.25644901061960995
13,Kabupaten Bogor,Kabupaten,2,Relatif Stabil / Menengah,0.5970146087995659,7.34,7.05,0.398,90.98,8.39,12.75,10.57,14.39,50.775000000000006,0.05827330834688174,0.47419344511113837
14,Kabupaten Tasikmalaya,Kabupaten,1,Prioritas Intervensi Sosial-Ekonomi,0.5966411215066671,3.74,10.23,0.363,87.64,7.97,12.64,10.305,13.97,48.9725,-1.7346409301798813,-1.1235544802081432
15,Kota Sukabumi,Kota,0,Wilayah Urban Produktif namun Tidak Merata,0.5625421266457523,8.34,7.2,0.436,93.24,10.38,13.62,12.0,15.54,52.62,2.284545839406854,1.4577044891416837
16,Kota Bogor,Kota,0,Wilayah Urban Produktif namun Tidak Merata,0.5483063208499304,8.13,6.53,0.477,92.34,10.71,13.51,12.11,14.66,52.225,2.625406664799803,1.643727990821986
17,Kabupaten Sumedang,Kabupaten,2,Relatif Stabil / Menengah,0.5448414759255593,6.16,9.1,0.337,96.22,8.74,13.02,10.88,15.26,53.55,0.4893082093886459,-0.5017411289137684
18,Kota Cirebon,Kota,0,Wilayah Urban Produktif namun Tidak Merata,0.5317777844466978,6.29,9.02,0.424,96.59,10.53,13.17,11.85,15.31,54.22,2.117799445517491,0.5486443014280723
19,Kabupaten Bekasi,Kabupaten,0,Wilayah Urban Produktif namun Tidak Merata,0.503010311296999,8.82,4.8,0.367,90.18,9.76,13.18,11.47,13.62,50.825,1.2706951828057573,0.5384020415085745
20,Kabupaten Bandung,Kabupaten,2,Relatif Stabil / Menengah,0.45530548280203037,6.36,6.19,0.364,95.1,9.15,12.74,10.945,12.55,53.0225,1.1500868109749545,-0.757215885056842
21,Kota Cimahi,Kota,0,Wilayah Urban Produktif namun Tidak Merata,0.42087052358204263,8.97,4.39,0.402,92.78,11.52,13.85,12.685,13.36,52.7325,3.4125402565255922,0.8323877039509362
22,Kota Banjar,Kota,2,Relatif Stabil / Menengah,0.41488245662068113,5.44,5.85,0.318,88.93,8.83,13.28,11.055,11.29,49.99250000000001,0.14554058556916946,-1.7713885140369026
23,Kabupaten Pangandaran,Kabupaten,2,Relatif Stabil / Menengah,0.39201532908351294,1.58,8.75,0.286,91.22,8.1,12.31,10.205,10.33,50.7125,-1.3929277388828807,-3.6489165884123818
24,Kabupaten Ciamis,Kabupaten,2,Relatif Stabil / Menengah,0.3915586606401781,3.37,7.39,0.326,88.29,8.1,14.3,11.2,10.76,49.745000000000005,0.11812208078770259,-2.7326818537802757
25,Kota Bekasi,Kota,0,Wilayah Urban Produktif namun Tidak Merata,0.3495326712875339,7.82,4.01,0.435,94.28,11.79,14.14,12.965,11.83,53.6225,4.318717034021592,0.3003126114882627
26,Kota Bandung,Kota,0,Wilayah Urban Produktif namun Tidak Merata,0.3405173005557261,7.4,3.87,0.44,95.38,11.07,14.25,12.66,11.27,54.02,4.286343075611942,-0.05309021076337519
27,Kota Depok,Kota,0,Wilayah Urban Produktif namun Tidak Merata,0.20800726515717202,6.27,2.34,0.398,94.26,11.59,14.11,12.85,8.61,53.555,4.378442645877939,-1.4577472074062994
