nama_wilayah,jenis_wilayah,tahun,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index
Kabupaten Bandung,Kabupaten,2024,6.36,6.19,0.364,95.1,9.15,12.74,10.945,12.55,53.0225
Kabupaten Bandung Barat,Kabupaten,2024,6.7,10.49,0.4,81.59,8.24,12.0,10.12,17.19,45.855
Kabupaten Bekasi,Kabupaten,2024,8.82,4.8,0.367,90.18,9.76,13.18,11.47,13.62,50.825
Kabupaten Bogor,Kabupaten,2024,7.34,7.05,0.398,90.98,8.39,12.75,10.57,14.39,50.775000000000006
Kabupaten Ciamis,Kabupaten,2024,3.37,7.39,0.326,88.29,8.1,14.3,11.2,10.76,49.745000000000005
Kabupaten Cianjur,Kabupaten,2024,5.99,10.14,0.338,86.22,7.33,12.04,9.685,16.130000000000003,47.9525
Kabupaten Cirebon,Kabupaten,2024,6.74,11.0,0.374,85.43,7.65,12.42,10.035,17.740000000000002,47.7325
Kabupaten Garut,Kabupaten,2024,6.96,9.68,0.324,84.24,7.85,12.17,10.01,16.64,47.125
Kabupaten Indramayu,Kabupaten,2024,6.25,11.93,0.306,89.78,6.95,12.32,9.635,18.18,49.7075
Kabupaten Karawang,Kabupaten,2024,8.04,7.86,0.376,91.98,8.05,12.21,10.13,15.9,51.055
Kabupaten Kuningan,Kabupaten,2024,7.78,11.88,0.369,88.0,7.9,12.27,10.085,19.66,49.0425
Kabupaten Majalengka,Kabupaten,2024,4.01,10.82,0.354,87.98,7.53,12.27,9.9,14.83,48.940000000000005
Kabupaten Pangandaran,Kabupaten,2024,1.58,8.75,0.286,91.22,8.1,12.31,10.205,10.33,50.7125
Kabupaten Purwakarta,Kabupaten,2024,7.34,8.41,0.398,87.96,8.14,12.25,10.195,15.75,49.0775
Kabupaten Subang,Kabupaten,2024,6.73,9.49,0.32,92.11,7.46,12.11,9.785,16.22,50.9475
Kabupaten Sukabumi,Kabupaten,2024,7.11,6.87,0.342,89.38,7.34,12.39,9.865,13.98,49.6225
Kabupaten Sumedang,Kabupaten,2024,6.16,9.1,0.337,96.22,8.74,13.02,10.88,15.26,53.55
Kabupaten Tasikmalaya,Kabupaten,2024,3.74,10.23,0.363,87.64,7.97,12.64,10.305,13.97,48.9725
Kota Bandung,Kota,2024,7.4,3.87,0.44,95.38,11.07,14.25,12.66,11.27,54.02
Kota Banjar,Kota,2024,5.44,5.85,0.318,88.93,8.83,13.28,11.055,11.29,49.99250000000001
Kota Bekasi,Kota,2024,7.82,4.01,0.435,94.28,11.79,14.14,12.965,11.83,53.6225
Kota Bogor,Kota,2024,8.13,6.53,0.477,92.34,10.71,13.51,12.11,14.66,52.225
Kota Cimahi,Kota,2024,8.97,4.39,0.402,92.78,11.52,13.85,12.685,13.36,52.7325
Kota Cirebon,Kota,2024,6.29,9.02,0.424,96.59,10.53,13.17,11.85,15.31,54.22
Kota Depok,Kota,2024,6.27,2.34,0.398,94.26,11.59,14.11,12.85,8.61,53.555
Kota Sukabumi,Kota,2024,8.34,7.2,0.436,93.24,10.38,13.62,12.0,15.54,52.62
Kota Tasikmalaya,Kota,2024,6.49,11.1,0.359,92.98,9.63,13.5,11.565,17.59,52.2725
